,建案名稱,總價,格局/地坪,建坪,位置,網站,latitude,longitude
2921,柳科富築,,46~61,果毅國小旁,果毅國小旁,https://tainan.housetube.tw/25638,32.0037253,112.1572064
2922,BTO樂活七甲社區2,,37.4~37.4,七甲一街,七甲一街,https://tainan.housetube.tw/25619,22.98329,120.294124
2923,連建自由,,146起,自由路,自由路,https://tainan.housetube.tw/25617,39.813829,97.556507
2924,真合邑,,43~51,中山路100號,中山路100號,https://tainan.housetube.tw/25616,43.792928,87.622312
2925,建築家湖美,,未提供,湖美二街142巷27號,湖美二街142巷27號,https://tainan.housetube.tw/25614,23.0045647,120.1826361
2926,福康NO.8,,51~53,公學路七段113巷,公學路七段113巷,https://tainan.housetube.tw/25613,,
2927,安平日日,,119.2~121.6,怡平路410巷29-33號,怡平路410巷29-33號,https://tainan.housetube.tw/25612,22.994461,120.1747385
2928,茗豐佳園,,48.8~54.4,港口里港口255號,港口里港口255號,https://tainan.housetube.tw/25593,23.0933701,120.2336976
2929,青水硯,,未提供,育平九街46號,育平九街46號,https://tainan.housetube.tw/25567,,
2930,侯爵6,,125起,台南市麻豆區國中街9巷2號,台南市麻豆區國中街9巷2號,https://tainan.housetube.tw/25553,,
2931,綠光NO.7,,44.92起,台南市安定區管寮149-1號,台南市安定區管寮149-1號,https://tainan.housetube.tw/25551,25.04851,121.521213
2932,漱石の,,79.3~84.5,台南市仁德區仁德三街51號,台南市仁德區仁德三街51號,https://tainan.housetube.tw/25549,22.9683404,120.2509196
2933,誠銳恆美,,未提供,佳南路；勝利路口,佳南路；勝利路口,https://tainan.housetube.tw/25526,31.330615,121.57613
2934,敦品三期,,33~39,位址:,未提供,https://tainan.housetube.tw/25506,34.2338993,135.177091
2935,風采,,55~71.5,功安一街與智安一街,功安一街與智安一街,https://tainan.housetube.tw/25489,,
2936,大灣之冠,,26~43,位址:,台南市永康區大灣路495巷1號,https://tainan.housetube.tw/25473,23.013416,120.271968
2937,春禹三十三謙,,位址:,社區,台南市新營區金華路二段159號,https://tainan.housetube.tw/25471,23.3097545,120.3026633
2938,漢川雲想2,,46~48,位址:,東興路與東興四街口,https://tainan.housetube.tw/25470,,
2939,吉祥園庭,,未提供,海佃路四段55巷48弄29號,海佃路四段55巷48弄29號,https://tainan.housetube.tw/25466,23.0550534,120.1757379
2940,千鼎苑NO.3,,225.1起,湖美街263巷1號,湖美街263巷1號,https://tainan.housetube.tw/25465,,
2941,湖悅2,,66,中華西路一段109巷18號,中華西路一段109巷18號,https://tainan.housetube.tw/25459,22.9813065,120.1843182
2942,羅浮,,147起,崑山街143巷28號,崑山街143巷28號,https://tainan.housetube.tw/25455,23.0036505,120.2580986
2943,偉人居,,180起,興安路97號(安和路二段),興安路97號(安和路二段),https://tainan.housetube.tw/25448,,
2944,春墅,,53~65,環福街161巷,環福街161巷,https://tainan.housetube.tw/25404,23.0728824,120.222165
2945,首喆,,102~120,永華四街、永華四街25巷口,永華四街、永華四街25巷口,https://tainan.housetube.tw/25403,34.5542,105.77
2946,光合四季,,97~128,龍埔街430巷,龍埔街430巷,https://tainan.housetube.tw/25380,23.0358288,120.2581669
2947,邰欣地堡33期,,位址:,社區,民生路97號旁,https://tainan.housetube.tw/25379,38.892455,77.633497
2948,我的家,,57起,慶安段942地號,慶安段942地號,https://tainan.housetube.tw/25377,,
2949,子曰No.16,,未提供,育平七街80巷9號,育平七街80巷9號,https://tainan.housetube.tw/25361,22.9934242,120.1648581
2950,誠邑一期,,67.7起,安中路2段138巷,安中路2段138巷,https://tainan.housetube.tw/25357,,
2951,和通 敦品2,,33起,位址:,金華路一段484巷,https://tainan.housetube.tw/25351,22.9691356,120.1948011
2952,仁德‧首府2,,未提供,上崙一街88號進入,上崙一街88號進入,https://tainan.housetube.tw/25350,,
